listing_id,high_revenue_efficiency,log_price,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,instant_bookable,host_years,latitude,longitude,amenities_count,has_wifi,has_kitchen,has_washer,has_air_conditioning,has_parking,has_workspace,name_len,description_len,neighborhood_overview_len,host_about_len,has_description,has_neighborhood_overview,has_host_about,host_response_time,neighbourhood_cleansed,property_type_grouped,room_type,avg_minimum_nights,median_minimum_nights,avg_maximum_nights,median_maximum_nights
933995364768839509,1,4.852030263919617,2,1.5,1.0,2.0,3,365,1.0,1.0,1.0,1.0,1.0,1,11.684931506849315,52.3523688,4.8554184,44,1,1,0,0,1,1,35,420,208,292,1,1,1,within an hour,Zuid,Entire rental unit,Entire home/apt,2.9726027397260273,3.0,365.0,365.0
934462227666279120,0,6.054439346269371,4,2.5,4.0,4.0,7,1125,1.0,0.8,0.0,1.0,1.0,0,7.575342465753424,52.32552320932288,4.860008752121894,59,1,1,1,1,1,1,34,532,0,0,1,0,0,unknown,Buitenveldert - Zuidas,Entire home,Entire home/apt,7.0,7.0,1125.0,1125.0
934628534656022387,0,5.3981627015177525,2,1.5,1.0,1.0,1,1125,0.81,0.72,0.0,1.0,1.0,0,10.150684931506849,52.33732848200175,4.915948893542846,39,1,1,1,0,1,0,49,473,0,178,1,0,1,within an hour,Watergraafsmeer,Entire rental unit,Entire home/apt,16.83013698630137,28.0,505.3753424657534,73.0
934631997607653730,0,5.736572297479192,4,1.0,2.0,4.0,5,365,1.0,0.89,0.0,1.0,1.0,0,11.46027397260274,52.35478,4.89591,8,1,1,1,0,0,0,42,481,396,0,1,1,0,within a day,De Pijp - Rivierenbuurt,Entire condo,Entire home/apt,4.975342465753425,5.0,365.0,365.0
934859413280761875,0,5.351858133476067,4,3.0,3.0,5.0,5,19,1.0,0.0,0.0,1.0,1.0,0,11.794520547945206,52.364816168789595,4.840150779004751,62,1,1,1,0,1,1,45,174,120,320,1,1,1,within a few hours,Slotervaart,Entire rental unit,Entire home/apt,5.0,5.0,19.0,19.0
935425525601549474,1,6.206575926724928,4,1.0,2.0,2.0,2,30,0.67,0.82,0.0,1.0,1.0,0,10.668493150684931,52.3761464,4.894860599999999,35,1,1,1,0,1,1,42,437,0,207,1,0,1,within a day,Centrum-West,Entire rental unit,Entire home/apt,2.0,2.0,30.0,30.0
936041353520088070,0,5.111987788356544,2,1.0,1.0,1.0,3,30,1.0,1.0,0.0,1.0,1.0,0,7.126027397260274,52.361057,4.89038,40,1,1,0,0,1,1,49,398,0,0,1,0,0,within an hour,Centrum-Oost,Private room in bed and breakfast,Private room,3.0,3.0,30.0,30.0
936111311299441447,0,6.206575926724928,4,2.0,2.0,2.0,2,30,0.75,1.0,0.0,1.0,1.0,0,9.397260273972602,52.347786478015585,4.886868946032723,63,1,1,1,0,1,1,31,511,0,0,1,0,0,within a few hours,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,2.0,2.0,30.0,30.0
936151464388580509,1,5.755742213586912,3,1.5,1.0,1.0,3,8,1.0,0.31,0.0,1.0,1.0,0,2.1616438356164385,52.38765253536198,4.8800059035039665,43,1,1,1,0,1,0,32,515,0,0,1,0,0,within a day,Westerpark,Entire rental unit,Entire home/apt,3.0,3.0,8.0,8.0
936222880778985571,1,6.516193076042964,4,1.5,3.0,4.0,2,30,1.0,0.85,1.0,1.0,1.0,0,4.597260273972603,52.3561643694219,4.896648071816059,59,1,1,1,0,1,1,49,542,379,0,1,1,0,within an hour,De Pijp - Rivierenbuurt,Entire condo,Entire home/apt,2.0,2.0,30.0,30.0
